id,foot,age,sex,logger,type,year
K13B22,9A25281,14,♀,G,tape,2013
K13B22P,K13B22P,NA,♂,G,tape,2013
K13B28,9A67016,13,♂,G,tape,2013
K13B34,9A66875,13,♀,G,tape,2013
K13B36,9A38700,19,♂,G,tape,2013
K13B87,9A79746,11,♂,G,tape,2013
K13B88,9A71866,12,♀,G,tape,2013
K13B89,9A66690,13,♂,G,tape,2013
K13B89P,K13B89P,NA,♀,G,tape,2013
K13B95,9A66331,13,♂,G,tape,2013
K13C03,9A20283,22,♀,G,tape,2013
K13C12P,K13C12P,NA,♂,G,tape,2013
K13C40P,K13C40P,NA,♀,G,tape,2013
K13C66P,K13C66P,23,♀,G,tape,2013
K13C98,9A32020,20,♀,G,tape,2013
K13C98P,K13C98P,NA,♂,G,tape,2013
K13D37PP,K13D37PP,NA,♀,G,tape,2013
K13D90,9A65507,13,♀,G,tape,2013
K13E16,9A90297,9,♀,G,tape,2013
K13E36,9A89647,9,♂,G,tape,2013
