id,foot,age,sex,logger,type,year
K20F38,9A79746,18,♂,VHF45270,harness,2020
K20F91,9B15746,11,♂,VHF45266,harness,2020
K20F33,09252374,22,♂,VHF45268,harness,2020
K20F56,9A89987,16,♀,VHF45269,harness,2020
K20D93,9B01515,14,♂,VHF45265,harness,2020
K20F61,9A90898,16,♂,VHF45272,harness,2020
K20D46,9A90224,16,♂,VHF45263,harness,2020
K20F90,9A61521,21,♂,VHF45264,harness,2020
K20F10,9B19843,10,♂,VHF45271,harness,2020
K20E88,9B19832,10,♂,VHF45276,harness,2020
K20D75,9A94429,15,♀,VHF45267,harness,2020
K20C95,09083730,21,♂,VHF45279,harness,2020
K20F84,9A61815,21,♂,VHF45273,harness,2020
K20F31,9A86086,17,♂,VHF45275,harness,2020
K20F39,9A90858,16,♂,VHF45278,harness,2020
